"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y15_24_ED3_4",-0.000134884476879007,5.74279065365626e-06,1,0.0147643927925045,0.00499535080472239
"emp_Y15_24_NaceM_N",-0.000345627617004656,0.00013561734241411,2,0.0147756864342219,0.0242751607704858
"emp_TF",-0.000514846324562855,4.58596389067063e-05,2,0.0148253913828944,0.0141162654171296
"emp_Y25_64_NaceM_N",0.00650488820502458,0.00051390201010217,2,0.0165798784463472,0.0472546616885167
"low_work",0.00245845539876798,0.000190894366179706,8,0.018416383965086,0.0288005681858128
"emp_Y15_24_NaceF",0.00972185428815247,0.000783003780619956,7,0.0187801203306772,0.05832925500423
"rooms_pp",0.016680182591753,0.0140619082291244,4,0.0189000389404456,0.247187570880031
"emp_Y15_24_NaceR_U",-0.00636417312804378,0.000611251523135401,4,0.0191193385795948,0.0515364473417501
"emp_Y25_64_NaceF",0.00769574038781664,0.00173062471332164,3,0.0199340725563295,0.0867173405868924
"emp_Y25_64_ED3_4",0.00226192841795247,3.71598885382548e-05,3,0.0201223129788468,0.0127069611282451
"emp_Y15_24_ED0_2",0.00210316608573932,3.72174358604454e-05,3,0.0221390416830238,0.0127167965815033
"training",0.00330751958022995,0.000103511873999998,11,0.0227140662960998,0.0212079936972837
"ARPR_socexcl",-0.00420316131123954,0.000157347106418745,3,0.0282068982357471,0.0261477232931457
"pop_Y25_64",0.0193290685927313,0.00350657607517558,5,0.0312027446785124,0.123437220159028
"emp_Y25_64_NaceO_Q",-0.0104285938744699,0.000760685486511496,3,0.0329855449371103,0.0574919534360928
"emp_Y25_64_NaceA",-0.00615289594716829,0.000357850418762601,10,0.0335800447948096,0.0394325865245081
"emp_Y15_24_NaceO_Q",0.00749948364601294,0.000421097581389116,4,0.034178333762439,0.0427755767152424
"emp_TP",0.0128665528265783,0.000892363272690774,3,0.0355606654362712,0.062269495027336
"emp_Y25_64_NaceR_U",0.0286409472561446,0.00650929221060534,3,0.0386159368152825,0.16817885216802
"emp_Y25_64",0.00942675575806004,0.000639459097841072,4,0.0440242742829973,0.0527121688103887
"pop_Y65_74",-0.0290291572491376,0.0157678416762244,18,0.0456326703956773,0.261752371634826
"pop_Y0_14",-0.0329620212363802,0.0159387423471819,23,0.0580886799946301,0.263167057843464
"emp_Y15_24_ED5_8",-0.00809335956239999,0.000556695287772618,21,0.068817350437031,0.0491828025983243
"emp_Y25_64_ED5_8",0.0114773358607899,0.00101144535302288,18,0.0699479026947086,0.0662942271099585
"emp_Y25_64_NaceJ",0.201055246328005,0.201479630433866,12,0.0721496596385119,0.935664328930866
"emp_Y25_64_NaceG_I",0.0554703646771017,0.0151479938641023,18,0.0742244988169622,0.25655593176388
"GDP",0.000103654256766739,3.36808912592037e-08,26,0.207681870396299,0.000382557118567133
"emp_Y15_24_NaceB_E",-0.279254370407661,0.0668654177893949,61,0.713185266225778,0.539020498441413
"emp_Y25_64_NaceK",4.24310592889689,1.27060398277436,91,0.975513539320847,2.34968479323902
"emp_Y25_64_NaceL",9.77036442065838,10.5477144116909,84,0.995800916014611,6.76992225376834
"(Intercept)",-4.70508405176848,237.196606818171,100,1,32.1039696421514
